nom,code,type,gid,adresse,lon,lat
Collège Jeanne d'Arc - Assomption,A,A3,3125,1 place Droits de l'Homme et du Citoyen,-0.6297635,44.8059673
Annexe B,D,D5,12353,12 ter rue du Docteur Schweitzer,-0.5821374,44.8615938
Bordeaux patrimoine mondial - Centre d'Interprétation de l'Architecture et du Patrimoine (CIAP),D,D3,12354,2 place de la Bourse,-0.5703518,44.8408965
Musée du Vin et du Négoce,D,D3,12355,41 rue Borie,-0.569406,44.8546336
Relais-lecture Lire à Tauzin,D,D1,13539,50 rue Tauzin,-0.6011753,44.8209331
I.Boat,D,D4,13577,Quai Lawton,-0.5591697,44.8659463
Galerie des étables,D,D3,14141,1 rue des Etables,-0.5610797,44.8304258
Arc en rêve,D,D3,14142,7 rue Ferrère,-0.5717113,44.8483498
Café-théâtre des Chartrons,D,D4,14157,170 cours du Médoc,-0.573375,44.8630784
Bibliothèque pour tous,D,D1,14336,,-0.6142198,44.8460802
Galerie 22 rive gauche,D,D3,14339,22 quai des Chartrons,-0.570384,44.8499279
Galerie Anne-Laure Jalouneix,D,D3,14340,28 rue Fondaudège,-0.5795979,44.8461173
Galerie Arrêt sur l'image,D,D3,14341,45 cours du Médoc,-0.5663712,44.8581331
Galerie D.X,D,D3,14344,10 place des Quinconces,-0.5761911,44.8454494
Espace 29,D,D3,14345,29 rue Fernand Marin,-0.5847044,44.840516
Les glacières de la banlieue,D,D3,14346,121 avenue Alsace Lorraine,-0.6104073,44.8473538
N'a qu'1 oeil,D,D3,14359,19 rue Bouquière,-0.5707524,44.836585
Espace Pierre Poumet,D,D3,14369,130 rue Notre Dame,-0.5693561,44.8538736
Le troisième oeil,D,D3,14371,17 rue des Remparts,-0.5797009,44.8401336
Théâtre La lucarne,D,D4,14380,49 rue Carpenteyre,-0.5629927,44.8332518
Théâtre du pont tournant,D,D4,14382,13 rue Charlevoix de Villers,-0.5483945,44.8708551
Théâtre en miettes,D,D4,15181,40 rue Joséphine,-0.5632866,44.8595377
Bibliothèque pour tous,D,D1,15422,250 rue Malbec,-0.5712506,44.8204419
Agence de l'Environnement et de la Maîtrise de l'Energie (ADEME) - Direction régionale,E,E6,11993,Agence de l'Environnement et de la Maîtrise de l'Energie (ADEME) - Direction régionale,-0.5544625,44.8224082
Relais Petite Enfance Nord Maritime (RPE) - Siège,P,P5,11323,122 avenue Emile Counord,-0.5748719,44.8604152
Crèche familiale Caudéran / Saint-Augustin,P,P5,11324,1 rue Bahr,-0.6134627,44.8461517
Maison du projet des Bassins à Flot,E,E6,12637,,-0.5551911,44.8629449
Sysdau,E,E6,12856,,-0.5557788,44.8633277
